Model,MSE,R²
Linear Regression,2.9078179594345057,0.9058992087843312
Ridge Regression,2.907857156361511,0.9058979403205222
Lasso Regression,2.909382122407088,0.9058485904253541
ElasticNet Regression,2.9088928407837678,0.9058644242184334
Bayesian Ridge Regression,2.932974741079238,0.9050851024371547
Decision Tree,3.085681832227104,0.9001433012990766
Random Forest,1.572841517580733,0.9491007919594858
Gradient Boosting,1.255260979893099,0.9593781134039533
Support Vector Regressor (SVR),1.8002569854058108,0.9417413300689681
K-Nearest Neighbors,3.115529999999999,0.8991773755626823
AdaBoost,1.784697466001853,0.9422448564613605
Multi-Layer Perceptron (MLP),3.2890610458064176,0.8935616840239856
